,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020/9/15,1225,1563,1149,863,676,1128,1770,4484,7625,11909,24637,31588,31740,31609,31992,27988,23130,18503,11193,5136,3039,3035,2150,2048
2020/9/16,1946,1618,1113,853,741,962,1817,4530,6526,9531,20491,28163,27546,28295,29122,28616,22599,18268,10993,6715,4571,3808,2892,2245
2020/9/17,1579,810,995,929,857,1310,1870,4383,6517,11047,22990,32488,31058,29182,30366,25781,23938,20210,13711,6859,3121,2654,1452,1521
2020/9/18,1106,654,627,532,471,880,1819,3994,7990,12241,23512,29896,32999,29521,29891,26692,22246,19622,12401,6399,3643,2998,3102,2590
2020/9/23,750,554,630,484,623,902,1693,4918,7205,11500,27216,35001,33286,31741,33649,26835,22888,18848,10670,4391,2751,2318,1434,1507
2020/9/24,1390,742,670,671,784,918,2291,4210,6059,9774,22186,27999,30192,27115,27722,24397,20047,14985,8519,4197,3512,2751,2648,2099
2020/9/25,1084,1166,531,488,750,764,1889,4549,6883,11413,23213,33151,32278,31807,32113,28351,21060,19225,11678,6157,4201,3054,1827,1757
2020/9/26,1392,975,1337,1208,772,965,1613,4236,9586,17328,32869,36904,43857,41401,42527,40296,29549,23342,14114,8191,4780,2916,2782,2275
2020/9/28,742,657,611,481,541,1037,2455,5117,10168,15853,27613,35530,37057,36262,37974,33654,29031,24280,12942,7448,3560,3245,2090,1726
2020/9/29,1803,1476,1196,949,848,1279,2605,5173,7791,14704,24666,31584,34224,30631,31752,28428,26073,19509,10952,5633,3378,3445,2873,2784
2020/9/30,1355,1093,1141,1102,761,1284,2286,4932,7852,11505,23003,27355,25275,24976,24811,23602,20717,16896,9392,5084,3688,3084,2470,2251
2020/10/1,1178,1115,341,493,684,1230,2485,4936,7682,9744,17879,21861,24641,22267,24220,19541,16443,12662,8487,5071,3293,2556,2625,1799
2020/10/2,1674,670,1101,941,725,750,1797,4830,9012,12674,22506,30376,31039,31911,34112,28235,24584,18536,10180,6203,4096,3474,2616,1990
2020/10/5,921,570,390,453,760,1098,1828,4339,7613,11759,22473,31978,34112,30814,31628,27755,22453,18997,10774,4805,3544,2479,1859,1452
2020/10/6,471,182,180,220,753,1006,1847,4380,8371,12766,21177,28463,33976,30503,32483,26598,22954,17216,10503,5654,2933,2713,2270,2143
2020/10/7,2078,1670,1520,1557,596,1068,2201,4193,7541,11749,21968,28660,29767,26938,30553,26658,22707,15967,9550,5547,3044,1897,1658,1478
2020/10/8,1619,1378,1074,1237,875,969,1432,4076,6139,8989,16950,23550,26600,24707,24807,19890,15572,11845,7123,4423,3421,2748,2516,1882
