,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-03-24,1128,906,871,666,704,908,1839,3888,7301,13291,27098,34223,33551,33670,35078,35980,32386,26320,18166,10327,4818,2996,1872,1386,0
2020-03-25,793,640,766,662,716,1341,2565,3930,6931,11387,24539,35659,33902,33396,34944,34588,32699,26254,16701,11098,4106,3190,2161,1380,0
2020-03-26,855,908,695,448,517,1260,1962,4068,8168,12019,27662,35483,32795,33697,37091,36668,33430,27097,17905,9121,4846,4171,2721,2065,0
2020-03-27,1220,489,514,448,457,992,1811,4140,6736,10115,22846,28683,24901,24612,25972,22770,21433,13748,9575,6134,3609,2562,1933,1445,0
2020-03-28,885,705,494,467,677,1112,1548,2792,5361,9457,19982,25651,26906,23699,24230,21484,18801,12753,7829,4357,2836,2372,1675,1508,0
2020-03-29,993,744,880,788,584,1117,1662,2387,4791,8363,16863,19377,22019,18535,19038,14536,11508,7718,5637,3678,2614,2043,1529,944,1
2020-03-30,649,475,583,461,642,1066,1909,3774,5442,7523,15677,21437,19598,19201,20418,16956,15079,11680,8825,4255,3497,2536,1781,1351,0
2020-03-31,1177,869,517,471,746,1458,1620,3243,5435,6837,14213,16510,15931,15851,14223,14025,12372,10210,5507,3532,2812,2566,1655,1248,1
2020-04-01,900,511,389,377,443,753,1606,3742,5656,6009,9917,12837,11066,9895,9311,9156,6564,8070,6134,2961,1923,1699,1455,1363,1
2020-04-02,726,668,664,550,522,1139,1890,3441,4567,6472,9586,11493,11134,11502,10977,10093,9927,8520,5129,3047,2079,1947,1589,1179,1
2020-04-03,1013,555,431,411,546,977,1776,3658,5522,6485,8495,11567,12894,12264,11637,10365,9843,9454,6021,4329,2998,2047,1710,1952,1
2020-04-04,1005,1073,870,1575,674,1124,2072,3260,5502,6205,9051,13076,15487,14313,14667,14024,11278,9011,4856,3617,2563,2163,2571,2007,1
2020-04-05,1140,1369,1049,1067,1020,1511,2240,3389,5830,6786,10032,14605,15973,14033,12206,11169,9067,6521,4755,3378,2477,2088,1726,1288,1
2020-04-06,876,745,621,614,634,1196,1805,3583,5053,5572,7302,8574,9196,9210,8020,8021,6991,6456,4440,3342,2033,1878,1684,1442,1
2020-04-07,727,659,548,467,633,1090,1664,3494,5137,5640,6277,8608,8560,7792,8283,7342,6914,7667,4253,3230,1907,1617,1153,922,1
2020-04-08,457,422,522,499,591,855,1535,3362,4657,4742,6216,7059,7021,9626,8540,7122,6744,6549,4359,2273,2163,2099,2015,1389,1
2020-04-09,565,564,377,353,524,950,1577,3073,4413,4632,6130,7161,7616,6647,6125,5622,5700,5406,3745,2580,1699,1503,1279,1069,1
2020-04-10,649,523,720,538,606,1022,1717,3136,4158,5161,5862,6416,6692,6263,6016,5559,5166,5769,4181,2893,2081,1742,1651,1550,1
2020-04-11,1313,1199,803,564,802,986,1768,2857,3698,4350,7275,7207,9443,9192,8472,6899,6548,4210,3021,2389,1942,1983,1720,1877,1
